VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-N_8B2-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),6.000000000000001
C1-N_8B2-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),0.2
C1-N_8B2-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),6.0
C1-N_8B2-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.43999999999999995
C1-N_8B2-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),20.68
C1-N_8B2-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),56.0
C1-N_8B2-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),11.8
C1-N_8B2-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),0.0
C1-N_8B2-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),111.0
C1-N_8B2-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),24.4
C1-N_8B2-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),4.08
C1-N_8B2-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),92.0
C1-N_8B2-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),23.96
C1-N_8B2-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),9.68
C1-N_8B2-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),30.0
C1-N_8B2-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),5.440000000000001
C1-N_8C2-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.0
C1-N_8C2-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),68.0
C1-N_8C2-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),7.880000000000001
C1-N_8C2-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),4.36
C1-N_8C2-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),147.0
C1-N_8C2-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),12.240000000000002
C1-N_8C2-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),19.16
C1-N_8C2-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),61.0
C1-N_8C2-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),4.24
C1-N_8C2-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),111.76
C1-N_8C2-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),5.0
C1-N_8C2-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.24000000000000002
C1-N_8C2-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.0
C1-N_8C2-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),95.0
C1-N_8C2-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),10.159999999999997
C1-N_8C2-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),1.88
C1-N_8C2-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),59.0
C1-N_8C2-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),4.920000000000001
C1-N_8C2-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),14.04
C1-N_8C2-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),64.0
C1-N_8C2-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),5.6000000000000005
C1-N_8C2-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),18.28
C1-N_8C2-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),12.0
C1-N_8C2-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),1.6
C1-N_8C4-0,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),7.08
C1-N_8C4-0,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),4.0
C1-N_8C4-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),0.6000000000000001
C1-N_8C4-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),0.04
C1-N_8C4-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),166.0
C1-N_8C4-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),14.52
C1-N_8C4-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),1.36
C1-N_8C4-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),70.0
C1-N_8C4-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),6.199999999999999
C1-N_8C4-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),21.32
C1-N_8C4-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),28.0
C1-N_8C4-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),2.6400000000000006
C1-N_8C4-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),0.28
C1-N_8C4-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),42.0
C1-N_8C4-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),3.7600000000000002
C1-N_8C4-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),3.28
C1-N_8C4-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),70.0
C1-N_8C4-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),7.6800000000000015
C1-N_8C4-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),17.88
C1-N_8C4-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),86.0
