VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),1.64
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.3945631067961165
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),103.0
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),21.06961460479713
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),40.64
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),4.4563575532907205
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),15.08
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.2442105263157894
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),38.0
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),21.74445024530382
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),9.279999999999998
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),4.165635039617389
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),26.84
C1-CCI_8D1-5,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.2572549019607843
